"name","up.votes","date","n.comments","date.w","comments.share.w","votes.share.w","max.daily.comment.share","max.daily.votes.share"
"Typify",96,2014-04-19,11,2014-04-13,0.0206766917293233,0.0421052631578947,0.0206766917293233,0.0421052631578947
"RainDrop.io",25,2014-04-19,6,2014-04-13,0.0112781954887218,0.0109649122807018,0.0206766917293233,0.0421052631578947
"Just Unfollow",20,2014-04-19,2,2014-04-13,0.0037593984962406,0.0087719298245614,0.0206766917293233,0.0421052631578947
"Opencall",12,2014-04-19,3,2014-04-13,0.0056390977443609,0.00526315789473684,0.0206766917293233,0.0421052631578947
"Mockuuups",11,2014-04-19,2,2014-04-13,0.0037593984962406,0.00482456140350877,0.0206766917293233,0.0421052631578947
"EditThisCookie",11,2014-04-19,1,2014-04-13,0.0018796992481203,0.00482456140350877,0.0206766917293233,0.0421052631578947
"Beamer",9,2014-04-19,0,2014-04-13,0,0.00394736842105263,0.0206766917293233,0.0421052631578947
"Rank tracker",7,2014-04-19,5,2014-04-13,0.0093984962406015,0.00307017543859649,0.0206766917293233,0.0421052631578947
"Nanoleaf",6,2014-04-19,0,2014-04-13,0,0.00263157894736842,0.0206766917293233,0.0421052631578947
"City Box",6,2014-04-19,5,2014-04-13,0.0093984962406015,0.00263157894736842,0.0206766917293233,0.0421052631578947
"Mixlr",3,2014-04-19,2,2014-04-13,0.0037593984962406,0.00131578947368421,0.0206766917293233,0.0421052631578947
"Skim",2,2014-04-19,0,2014-04-13,0,0.00087719298245614,0.0206766917293233,0.0421052631578947
"underdog.io",48,2014-04-18,16,2014-04-13,0.0300751879699248,0.0210526315789474,0.0300751879699248,0.0210526315789474
"Design Triggers",44,2014-04-18,3,2014-04-13,0.0056390977443609,0.0192982456140351,0.0300751879699248,0.0210526315789474
"DoBundle",25,2014-04-18,13,2014-04-13,0.0244360902255639,0.0109649122807018,0.0300751879699248,0.0210526315789474
"FoldingText",18,2014-04-18,3,2014-04-13,0.0056390977443609,0.00789473684210526,0.0300751879699248,0.0210526315789474
"Qapital",15,2014-04-18,6,2014-04-13,0.0112781954887218,0.00657894736842105,0.0300751879699248,0.0210526315789474
"Nextdoor for iOS 2.0",14,2014-04-18,5,2014-04-13,0.0093984962406015,0.00614035087719298,0.0300751879699248,0.0210526315789474
"Spot Rocket",13,2014-04-18,7,2014-04-13,0.0131578947368421,0.00570175438596491,0.0300751879699248,0.0210526315789474
"Tuition.io",11,2014-04-18,2,2014-04-13,0.0037593984962406,0.00482456140350877,0.0300751879699248,0.0210526315789474
"Seed.Jobs",9,2014-04-18,1,2014-04-13,0.0018796992481203,0.00394736842105263,0.0300751879699248,0.0210526315789474
"Immaculate",4,2014-04-18,1,2014-04-13,0.0018796992481203,0.00175438596491228,0.0300751879699248,0.0210526315789474
"Typekit Practice",3,2014-04-18,0,2014-04-13,0,0.00131578947368421,0.0300751879699248,0.0210526315789474
"Poachbox",3,2014-04-18,5,2014-04-13,0.0093984962406015,0.00131578947368421,0.0300751879699248,0.0210526315789474
"TP AR 556",1,2014-04-18,1,2014-04-13,0.0018796992481203,0.00043859649122807,0.0300751879699248,0.0210526315789474
"Photojojo Rentals",54,2014-04-17,11,2014-04-13,0.0206766917293233,0.0236842105263158,0.0281954887218045,0.0236842105263158
"Breeze",37,2014-04-17,10,2014-04-13,0.018796992481203,0.0162280701754386,0.0281954887218045,0.0236842105263158
"design+code : Sketch",37,2014-04-17,1,2014-04-13,0.0018796992481203,0.0162280701754386,0.0281954887218045,0.0236842105263158
"Paintzen",34,2014-04-17,12,2014-04-13,0.0225563909774436,0.0149122807017544,0.0281954887218045,0.0236842105263158
"Screenhero",32,2014-04-17,4,2014-04-13,0.0075187969924812,0.0140350877192982,0.0281954887218045,0.0236842105263158
"Screenshotter PHBeta",32,2014-04-17,15,2014-04-13,0.0281954887218045,0.0140350877192982,0.0281954887218045,0.0236842105263158
"KeyMe",27,2014-04-17,7,2014-04-13,0.0131578947368421,0.0118421052631579,0.0281954887218045,0.0236842105263158
"Better",24,2014-04-17,13,2014-04-13,0.0244360902255639,0.0105263157894737,0.0281954887218045,0.0236842105263158
"GA Opportunity Fund",18,2014-04-17,0,2014-04-13,0,0.00789473684210526,0.0281954887218045,0.0236842105263158
"High Five PH!",16,2014-04-17,14,2014-04-13,0.0263157894736842,0.00701754385964912,0.0281954887218045,0.0236842105263158
"Revelry",16,2014-04-17,3,2014-04-13,0.0056390977443609,0.00701754385964912,0.0281954887218045,0.0236842105263158
"Roojoom",15,2014-04-17,1,2014-04-13,0.0018796992481203,0.00657894736842105,0.0281954887218045,0.0236842105263158
"Unsplash",14,2014-04-17,1,2014-04-13,0.0018796992481203,0.00614035087719298,0.0281954887218045,0.0236842105263158
"Stacks",13,2014-04-17,5,2014-04-13,0.0093984962406015,0.00570175438596491,0.0281954887218045,0.0236842105263158
"Locus Seat",12,2014-04-17,0,2014-04-13,0,0.00526315789473684,0.0281954887218045,0.0236842105263158
"UpSee",12,2014-04-17,2,2014-04-13,0.0037593984962406,0.00526315789473684,0.0281954887218045,0.0236842105263158
"GoogolPlex",11,2014-04-17,4,2014-04-13,0.0075187969924812,0.00482456140350877,0.0281954887218045,0.0236842105263158
"Lumoid",10,2014-04-17,0,2014-04-13,0,0.0043859649122807,0.0281954887218045,0.0236842105263158
"FB Nearby Friends",9,2014-04-17,3,2014-04-13,0.0056390977443609,0.00394736842105263,0.0281954887218045,0.0236842105263158
"Mark43",5,2014-04-17,1,2014-04-13,0.0018796992481203,0.00219298245614035,0.0281954887218045,0.0236842105263158
"Kill News Feed",5,2014-04-17,0,2014-04-13,0,0.00219298245614035,0.0281954887218045,0.0236842105263158
"Pesticide",5,2014-04-17,0,2014-04-13,0,0.00219298245614035,0.0281954887218045,0.0236842105263158
"Table8",4,2014-04-17,3,2014-04-13,0.0056390977443609,0.00175438596491228,0.0281954887218045,0.0236842105263158
"Indico",3,2014-04-17,0,2014-04-13,0,0.00131578947368421,0.0281954887218045,0.0236842105263158
"Fraym",3,2014-04-17,1,2014-04-13,0.0018796992481203,0.00131578947368421,0.0281954887218045,0.0236842105263158
"BRANDiD",90,2014-04-16,18,2014-04-13,0.0338345864661654,0.0394736842105263,0.0338345864661654,0.0394736842105263
"ThinkUp",85,2014-04-16,14,2014-04-13,0.0263157894736842,0.037280701754386,0.0338345864661654,0.0394736842105263
"Sidenotes",53,2014-04-16,6,2014-04-13,0.0112781954887218,0.0232456140350877,0.0338345864661654,0.0394736842105263
"Drawer",50,2014-04-16,11,2014-04-13,0.0206766917293233,0.0219298245614035,0.0338345864661654,0.0394736842105263
"Respondly",44,2014-04-16,7,2014-04-13,0.0131578947368421,0.0192982456140351,0.0338345864661654,0.0394736842105263
"Kivo",33,2014-04-16,3,2014-04-13,0.0056390977443609,0.0144736842105263,0.0338345864661654,0.0394736842105263
"Learn Git",29,2014-04-16,3,2014-04-13,0.0056390977443609,0.012719298245614,0.0338345864661654,0.0394736842105263
"Notfound",22,2014-04-16,3,2014-04-13,0.0056390977443609,0.00964912280701754,0.0338345864661654,0.0394736842105263
"Human API",17,2014-04-16,4,2014-04-13,0.0075187969924812,0.00745614035087719,0.0338345864661654,0.0394736842105263
"Tracxn",16,2014-04-16,6,2014-04-13,0.0112781954887218,0.00701754385964912,0.0338345864661654,0.0394736842105263
"BannerFlow",14,2014-04-16,1,2014-04-13,0.0018796992481203,0.00614035087719298,0.0338345864661654,0.0394736842105263
"Yovigo",12,2014-04-16,1,2014-04-13,0.0018796992481203,0.00526315789473684,0.0338345864661654,0.0394736842105263
"Superb",12,2014-04-16,6,2014-04-13,0.0112781954887218,0.00526315789473684,0.0338345864661654,0.0394736842105263
"Slice",12,2014-04-16,7,2014-04-13,0.0131578947368421,0.00526315789473684,0.0338345864661654,0.0394736842105263
"Rise",10,2014-04-16,2,2014-04-13,0.0037593984962406,0.0043859649122807,0.0338345864661654,0.0394736842105263
"ProtoExchange",10,2014-04-16,0,2014-04-13,0,0.0043859649122807,0.0338345864661654,0.0394736842105263
"Browser Stack ",10,2014-04-16,4,2014-04-13,0.0075187969924812,0.0043859649122807,0.0338345864661654,0.0394736842105263
"Shortcut Foo",6,2014-04-16,0,2014-04-13,0,0.00263157894736842,0.0338345864661654,0.0394736842105263
"Spain startup map",6,2014-04-16,1,2014-04-13,0.0018796992481203,0.00263157894736842,0.0338345864661654,0.0394736842105263
"Trialfire",5,2014-04-16,1,2014-04-13,0.0018796992481203,0.00219298245614035,0.0338345864661654,0.0394736842105263
"Slicereader",5,2014-04-16,1,2014-04-13,0.0018796992481203,0.00219298245614035,0.0338345864661654,0.0394736842105263
"Prefundia ",5,2014-04-16,1,2014-04-13,0.0018796992481203,0.00219298245614035,0.0338345864661654,0.0394736842105263
"Panorama Education",4,2014-04-16,3,2014-04-13,0.0056390977443609,0.00175438596491228,0.0338345864661654,0.0394736842105263
"Peekster",4,2014-04-16,0,2014-04-13,0,0.00175438596491228,0.0338345864661654,0.0394736842105263
"Solar",3,2014-04-16,0,2014-04-13,0,0.00131578947368421,0.0338345864661654,0.0394736842105263
"Buddhify",2,2014-04-16,3,2014-04-13,0.0056390977443609,0.00087719298245614,0.0338345864661654,0.0394736842105263
"Sydewalk",2,2014-04-16,1,2014-04-13,0.0018796992481203,0.00087719298245614,0.0338345864661654,0.0394736842105263
"PlayAlong",1,2014-04-16,2,2014-04-13,0.0037593984962406,0.00043859649122807,0.0338345864661654,0.0394736842105263
"Tomigo",1,2014-04-16,3,2014-04-13,0.0056390977443609,0.00043859649122807,0.0338345864661654,0.0394736842105263
"Product Hunt Radio",117,2014-04-15,11,2014-04-13,0.0206766917293233,0.0513157894736842,0.0225563909774436,0.0513157894736842
"Betterment",38,2014-04-15,7,2014-04-13,0.0131578947368421,0.0166666666666667,0.0225563909774436,0.0513157894736842
"Fedora",31,2014-04-15,7,2014-04-13,0.0131578947368421,0.0135964912280702,0.0225563909774436,0.0513157894736842
"Let.ter",28,2014-04-15,12,2014-04-13,0.0225563909774436,0.012280701754386,0.0225563909774436,0.0513157894736842
"Flock",26,2014-04-15,12,2014-04-13,0.0225563909774436,0.0114035087719298,0.0225563909774436,0.0513157894736842
"Postman",20,2014-04-15,2,2014-04-13,0.0037593984962406,0.0087719298245614,0.0225563909774436,0.0513157894736842
"RelateIQ 2.0 for iOS",18,2014-04-15,10,2014-04-13,0.018796992481203,0.00789473684210526,0.0225563909774436,0.0513157894736842
"Beepi",16,2014-04-15,3,2014-04-13,0.0056390977443609,0.00701754385964912,0.0225563909774436,0.0513157894736842
"Clari",15,2014-04-15,0,2014-04-13,0,0.00657894736842105,0.0225563909774436,0.0513157894736842
"Templana",15,2014-04-15,3,2014-04-13,0.0056390977443609,0.00657894736842105,0.0225563909774436,0.0513157894736842
"Swell",14,2014-04-15,8,2014-04-13,0.0150375939849624,0.00614035087719298,0.0225563909774436,0.0513157894736842
"Skilljar",11,2014-04-15,3,2014-04-13,0.0056390977443609,0.00482456140350877,0.0225563909774436,0.0513157894736842
"Survios",11,2014-04-15,6,2014-04-13,0.0112781954887218,0.00482456140350877,0.0225563909774436,0.0513157894736842
"Theorem",8,2014-04-15,0,2014-04-13,0,0.00350877192982456,0.0225563909774436,0.0513157894736842
"Zoute",8,2014-04-15,0,2014-04-13,0,0.00350877192982456,0.0225563909774436,0.0513157894736842
"Happier",7,2014-04-15,2,2014-04-13,0.0037593984962406,0.00307017543859649,0.0225563909774436,0.0513157894736842
"Huginn",6,2014-04-15,1,2014-04-13,0.0018796992481203,0.00263157894736842,0.0225563909774436,0.0513157894736842
"5 minute journal",5,2014-04-15,4,2014-04-13,0.0075187969924812,0.00219298245614035,0.0225563909774436,0.0513157894736842
"Icon Pocket",5,2014-04-15,1,2014-04-13,0.0018796992481203,0.00219298245614035,0.0225563909774436,0.0513157894736842
"Postmaster",4,2014-04-15,0,2014-04-13,0,0.00175438596491228,0.0225563909774436,0.0513157894736842
"Front Flip",3,2014-04-15,2,2014-04-13,0.0037593984962406,0.00131578947368421,0.0225563909774436,0.0513157894736842
"Last Alert",2,2014-04-15,2,2014-04-13,0.0037593984962406,0.00087719298245614,0.0225563909774436,0.0513157894736842
"BookMacster",1,2014-04-15,2,2014-04-13,0.0037593984962406,0.00043859649122807,0.0225563909774436,0.0513157894736842
"Sketch 3",104,2014-04-14,13,2014-04-13,0.0244360902255639,0.0456140350877193,0.037593984962406,0.0456140350877193
"PiinPoint",38,2014-04-14,4,2014-04-13,0.0075187969924812,0.0166666666666667,0.037593984962406,0.0456140350877193
"Update My VC",32,2014-04-14,13,2014-04-13,0.0244360902255639,0.0140350877192982,0.037593984962406,0.0456140350877193
"SummaList",24,2014-04-14,6,2014-04-13,0.0112781954887218,0.0105263157894737,0.037593984962406,0.0456140350877193
