"name","up.votes","date","n.comments","date.w","comments.share","votes.share","max.daily.comment.share","max.daily.votes.share","days.in.week"
"Cartegram",12,2014-07-04,2,2014-06-29,0.025974025974026,0.028436018957346,0.155844155844156,0.146919431279621,7
"RightInbox",12,2014-07-04,5,2014-06-29,0.0649350649350649,0.028436018957346,0.155844155844156,0.146919431279621,7
"MapWithMe",10,2014-07-04,0,2014-06-29,0,0.023696682464455,0.155844155844156,0.146919431279621,7
"Volt",11,2014-07-04,0,2014-06-29,0,0.0260663507109005,0.155844155844156,0.146919431279621,7
"Reelagram",10,2014-07-04,1,2014-06-29,0.012987012987013,0.023696682464455,0.155844155844156,0.146919431279621,7
"Fuisz Media",9,2014-07-04,2,2014-06-29,0.025974025974026,0.0213270142180095,0.155844155844156,0.146919431279621,7
"Everest",5,2014-07-04,1,2014-06-29,0.012987012987013,0.0118483412322275,0.155844155844156,0.146919431279621,7
"Levitagram",8,2014-07-04,1,2014-06-29,0.012987012987013,0.018957345971564,0.155844155844156,0.146919431279621,7
"Unmark for Chrome",6,2014-07-04,2,2014-06-29,0.025974025974026,0.014218009478673,0.155844155844156,0.146919431279621,7
"Kiwi Juice",6,2014-07-04,2,2014-06-29,0.025974025974026,0.014218009478673,0.155844155844156,0.146919431279621,7
"Projectify",6,2014-07-04,0,2014-06-29,0,0.014218009478673,0.155844155844156,0.146919431279621,7
"Popexpert",4,2014-07-04,0,2014-06-29,0,0.00947867298578199,0.155844155844156,0.146919431279621,7
"Sunrise for Mac",175,2014-07-03,48,2014-06-29,0.178438661710037,0.13389441469013,0.178438661710037,0.13389441469013,7
"JOBBOX",136,2014-07-03,16,2014-06-29,0.0594795539033457,0.104055087987758,0.178438661710037,0.13389441469013,7
"Snoopify World Cup Update",73,2014-07-03,19,2014-06-29,0.0706319702602231,0.0558530986993114,0.178438661710037,0.13389441469013,7
"MediaREDEF",82,2014-07-03,8,2014-06-29,0.0297397769516729,0.0627390971690895,0.178438661710037,0.13389441469013,7
"Find Guidelines",85,2014-07-03,10,2014-06-29,0.0371747211895911,0.0650344299923489,0.178438661710037,0.13389441469013,7
"Receiptful",58,2014-07-03,15,2014-06-29,0.0557620817843866,0.0443764345830145,0.178438661710037,0.13389441469013,7
"3nder",50,2014-07-03,18,2014-06-29,0.0669144981412639,0.0382555470543229,0.178438661710037,0.13389441469013,7
"Equity Calculator",52,2014-07-03,12,2014-06-29,0.0446096654275093,0.0397857689364958,0.178438661710037,0.13389441469013,7
"Brif",54,2014-07-03,13,2014-06-29,0.0483271375464684,0.0413159908186687,0.178438661710037,0.13389441469013,7
"iLumi",45,2014-07-03,1,2014-06-29,0.00371747211895911,0.0344299923488906,0.178438661710037,0.13389441469013,7
"Free Server",45,2014-07-03,11,2014-06-29,0.0408921933085502,0.0344299923488906,0.178438661710037,0.13389441469013,7
"Kiss",35,2014-07-03,1,2014-06-29,0.00371747211895911,0.026778882938026,0.178438661710037,0.13389441469013,7
"Estately for iOS",39,2014-07-03,3,2014-06-29,0.0111524163568773,0.0298393267023718,0.178438661710037,0.13389441469013,7
"Whatt",26,2014-07-03,7,2014-06-29,0.0260223048327138,0.0198928844682479,0.178438661710037,0.13389441469013,7
